username,repository_name,image_link,created_at,last_updated,last_modified,pull_count,star_count,description
adarshrk568,dscc,https://hub.docker.com/r/adarshrk568/dscc,2025-07-07,2025-07-07,2025-11-09,12,0,lab exercise
adarshrk568,db-connector-image,https://hub.docker.com/r/adarshrk568/db-connector-image,2025-07-07,2025-07-07,2025-11-11,19,0,lab exercise : Database connection App
adarshrk568,web-scrapper,https://hub.docker.com/r/adarshrk568/web-scrapper,2025-07-09,2025-07-09,2025-11-09,18,0,lab exercise
adarshrk568,custom-ipfs-node,https://hub.docker.com/r/adarshrk568/custom-ipfs-node,2025-07-16,2025-08-21,2025-11-11,46,0,"Assignment : IPFS node container on linux for file upload,IPNS publish,pinning and share"
adarshrk568,lab1,https://hub.docker.com/r/adarshrk568/lab1,2025-08-20,2025-08-20,2025-11-09,11,0,Assignment
adarshrk568,flask-app,https://hub.docker.com/r/adarshrk568/flask-app,2025-10-30,2025-10-30,2025-11-11,31,0,Assignment : Flask app
adithyans636,practice,https://hub.docker.com/r/adithyans636/practice,2025-07-07,2025-07-08,2025-11-10,19,0,"Creates a folder DSCC & a file Lab1.txt, echoes ""adithyans636"", and runs cat Lab1.txt - Practice."
adithyans636,lab1-app,https://hub.docker.com/r/adithyans636/lab1-app,2025-07-07,2025-07-07,2025-11-10,16,0,Docker image for database connector - Lab exercise
adithyans636,scraper,https://hub.docker.com/r/adithyans636/scraper,2025-07-09,2025-07-10,2025-11-10,32,0,Runs python script to scrape and print all <h1> and <h2> tags from a webpage - Lab exercise
adithyans636,lab-eval1,https://hub.docker.com/r/adithyans636/lab-eval1,2025-07-12,2025-07-12,2025-11-10,10,0,Hosts a website using NGINX - Lab evaluation
adithyans636,ipfs-docker,https://hub.docker.com/r/adithyans636/ipfs-docker,2025-07-16,2025-07-16,2025-11-10,36,0,Downloads and sets up ipfs network - Lab exercise.
adithyans636,ipfs-private,https://hub.docker.com/r/adithyans636/ipfs-private,2025-08-13,2025-08-13,2025-11-10,34,0,Downloads kubo and sets up a private ipfs network - Lab assignment.
adithyans636,midtermeval,https://hub.docker.com/r/adithyans636/midtermeval,2025-08-21,2025-08-21,2025-11-10,21,0,This docker image hosts a website that lets you download docker image from IPFS  - Midterm
adithyans636,test1,https://hub.docker.com/r/adithyans636/test1,2025-10-23,2025-10-23,2025-11-10,21,0,"The docker image hosts a webpage that displays ""Hello World""- Practice"
agil2004,practice-exercise,https://hub.docker.com/r/agil2004/practice-exercise,2025-07-17,2025-07-17,2025-11-11,19,0,Assignment 0: Flask app connecting to PostgreSQL for secure database access via environment vars.
agil2004,db-connector,https://hub.docker.com/r/agil2004/db-connector,2025-07-17,2025-07-17,2025-11-11,19,0,"Assignment 1 Database connection app using Python to link, query, and manage records securely."
agil2004,additional-assignment,https://hub.docker.com/r/agil2004/additional-assignment,2025-07-17,2025-07-17,2025-11-11,16,0,"Assignment-2: Python web scraper using BeautifulSoup to extract, parse, and store data."
agil2004,custom-ipfs-node,https://hub.docker.com/r/agil2004/custom-ipfs-node,2025-07-30,2025-07-30,2025-11-11,37,0,"Class Assignment: IPFS node container on Ubuntu for file upload, IPNS publish, pinning, and share"
agil2004,lab1,https://hub.docker.com/r/agil2004/lab1,2025-08-20,2025-08-20,2025-11-11,17,0,Assignment 0: Flask app connecting to PostgreSQL for secure database access via environment vars.
agil2004,flaskapp,https://hub.docker.com/r/agil2004/flaskapp,2025-08-21,2025-08-21,2025-11-11,18,0,MIDTERM-Lightweight Flask app showing student ID and name via env variables.
agil2004,nginx,https://hub.docker.com/r/agil2004/nginx,2025-11-12,2025-11-12,2025-11-12,7,0,
aish2913,alpine-dscc,https://hub.docker.com/r/aish2913/alpine-dscc,2025-07-07,2025-07-07,2025-11-10,14,0,Assignment0:Alpine-based Docker image  with basic setup and environment configuration.
aish2913,db-connector,https://hub.docker.com/r/aish2913/db-connector,2025-07-07,2025-07-07,2025-11-10,29,0,"Assignment 1: Database connection app using Python to link, query, and manage records securely."
aish2913,python-web-scraper,https://hub.docker.com/r/aish2913/python-web-scraper,2025-07-09,2025-07-09,2025-11-10,16,0,"Assignment 2: Python web scraper using BeautifulSoup to extract, parse, and store data."
aish2913,website,https://hub.docker.com/r/aish2913/website,2025-07-12,2025-07-12,2025-11-10,16,0,NGINX Docker image setup with entrypoint and configuration scripts.
aish2913,flaskapp,https://hub.docker.com/r/aish2913/flaskapp,2025-08-21,2025-08-21,2025-11-10,17,0,Flask app connecting to PostgreSQL for secure database access via environment variables.
aish2913,flaskmidterm,https://hub.docker.com/r/aish2913/flaskmidterm,2025-10-30,2025-10-30,2025-11-10,16,0,Flask app showing student ID and name via environment variables.
aish2913,ipfs-nginx-cys-endsem-22004,https://hub.docker.com/r/aish2913/ipfs-nginx-cys-endsem-22004,2025-11-10,2025-11-10,2025-11-10,31,0,"Ubuntu NGINX + IPFS image automating JSON upload, IPNS publish, pinning."
amalpromass,dscc-lab1-practice-exercise,https://hub.docker.com/r/amalpromass/dscc-lab1-practice-exercise,2025-07-08,2025-07-08,2025-11-10,12,0,lab 1 practice exercise
amalpromass,dscc-lab1-db,https://hub.docker.com/r/amalpromass/dscc-lab1-db,2025-07-08,2025-07-08,2025-11-10,15,0,lab 1 which includes the data base
amalpromass,dscc-lab1-additional-assigment,https://hub.docker.com/r/amalpromass/dscc-lab1-additional-assigment,2025-07-09,2025-07-09,2025-11-10,3,0,lab 1 additional assigment
amalpromass,lev-1,https://hub.docker.com/r/amalpromass/lev-1,2025-07-12,2025-07-12,2025-11-10,8,0,The first lab eval
amalpromass,ipfs-node,https://hub.docker.com/r/amalpromass/ipfs-node,2025-07-16,2025-07-16,2025-11-10,36,0,ipfs node pratice lab
amalpromass,private-ipfs,https://hub.docker.com/r/amalpromass/private-ipfs,2025-08-13,2025-08-13,2025-11-10,30,0,private ipfs pratice lab
amalpromass,v1,https://hub.docker.com/r/amalpromass/v1,2025-08-21,2025-08-21,2025-11-10,9,0,this is midterm lab eval version 1 image
amalpromass,v1.2,https://hub.docker.com/r/amalpromass/v1.2,2025-08-21,2025-08-21,2025-11-10,12,0,this is midterm lab eval version 1.2 image
